EMD_CD,EMD_NM,SGG_OID,TRAD,CONCERT,OLD,MART,LIB,ART,MUS,MED,COMM,SPORT,TOTAL,CHARGE,own,job,carrot,charge
29200140,본덕동,548,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
29200137,사호동,547,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29200136,오산동,546,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
29200170,선동,583,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0
29200169,광산구_산수동,582,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
29200120,운남동,519,0,0,1,0,2,0,0,5,1,8,17,2,4,44,2,2
29200119,신가동,518,0,0,0,0,2,0,0,3,1,11,17,0,3,28,1,0
29200118,신창동,517,0,0,2,0,0,0,0,3,1,19,25,0,3,50,2,0
29200117,산월동,516,0,0,1,0,0,0,0,1,0,13,15,1,0,0,0,1
29200116,쌍암동,515,0,1,0,1,0,0,0,9,1,4,16,1,0,0,0,1
29200115,월계동,514,0,1,0,0,2,0,0,4,1,10,18,2,2,153,2,2
29200153,명화동,528,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
29200111,박호동,527,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29200110,황룡동,526,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29200109,광산구_우산동,525,3,0,2,1,0,0,0,5,1,19,31,5,60,133,1,5
29200108,소촌동,524,0,0,3,0,1,0,0,1,0,15,20,0,5,197,1,0
29200104,신촌동,523,0,0,1,0,0,0,0,0,1,11,13,0,0,0,0,0
29200103,도호동,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29200102,도산동,521,0,0,0,0,0,0,0,2,1,5,8,1,7,5,0,1
29200101,송정동,520,3,1,0,0,0,0,0,4,2,16,26,5,4,76,1,5
29200156,도덕동,530,0,0,1,0,0,0,0,0,1,4,6,0,0,0,0,0
29200154,동산동,529,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
29200152,지정동,558,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
29200151,용곡동,557,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
29200150,용동,556,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29200149,지죽동,555,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29200148,송촌동,554,0,0,1,0,0,0,0,2,0,1,4,0,0,0,0,0
29200147,장록동,553,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
29200145,옥동,1237,0,0,0,0,0,0,0,0,1,3,4,0,0,210,1,0
29200129,등임동,539,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
29200128,월곡동,538,1,0,1,0,0,0,0,1,2,13,18,3,1,30,0,3
29200127,산정동,537,0,0,1,0,0,0,0,1,0,3,5,2,0,0,0,2
29200126,장수동,536,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
29200135,광산동,545,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29200134,임곡동,544,0,0,0,0,0,0,0,0,1,7,8,0,0,8,0,0
29200133,두정동,543,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
29200132,신룡동,542,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29200131,고룡동,541,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
29200130,산막동,540,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
29200123,장덕동,931,0,1,0,2,2,0,0,8,2,3,18,0,0,0,3,0
29200122,진곡동,532,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29200121,안청동,531,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0
29200144,송대동,551,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
29200143,복룡동,550,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
29170110,북구_우산동,785,1,0,1,0,4,0,0,2,1,1,10,1,31,23,2,1
29170130,신용동,454,0,0,1,0,11,0,0,3,0,0,15,0,10,0,2,0
29170114,두암동,453,2,0,2,1,9,0,0,6,3,4,27,3,102,80,5,3
29170101,중흥동,801,2,1,1,0,6,0,1,4,3,0,18,2,10,130,0,2
29170123,화암동,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29170122,청풍동,421,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29170121,망월동,426,0,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0
29170120,금곡동,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29170119,덕의동,427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29170118,충효동,415,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29170107,북구_용봉동,1428,1,0,3,0,7,0,1,6,1,2,21,2,13,201,0,2
29170113,각화동,1426,0,0,0,1,2,1,0,4,1,4,13,3,0,32,1,3
29170139,월출동,445,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
29170136,용전동,442,0,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0
29170115,오치동,434,0,0,4,0,7,0,0,5,2,0,18,1,70,66,2,1
29170106,신안동,431,0,0,2,1,1,0,0,6,1,0,11,1,6,120,0,1
29170104,북동,430,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0
29170103,누문동,429,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
29170102,유동,428,0,0,0,0,1,0,0,3,1,0,5,0,0,0,0,0
29170126,본촌동,425,0,0,2,0,2,0,0,2,2,0,8,2,0,454,1,2
29170111,풍향동,449,1,0,0,0,2,0,1,1,1,1,7,1,3,26,2,1
29170105,임동,448,0,0,1,0,5,0,0,2,1,0,9,0,0,24,0,0
29170140,대촌동,446,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0
29170138,생용동,444,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
29170137,용강동,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29170135,효령동,441,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
29170134,수곡동,440,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29170133,태령동,439,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29170132,지야동,438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29170131,북구_용두동,1142,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0
29170112,문흥동,1425,0,1,0,0,8,0,0,1,2,3,15,0,5,26,1,0
29170141,오룡동,447,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0
29170125,운정동,424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29170124,장등동,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155105,백운동,400,0,0,0,0,7,0,0,6,2,0,15,0,7,45,2,0
29155104,월산동,399,0,0,1,0,13,0,0,6,3,0,23,2,15,89,1,2
29155103,서동,398,0,0,1,0,0,0,0,4,1,0,6,0,3,75,0,0
29155102,구동,397,0,2,0,0,2,0,0,0,0,0,4,0,0,0,0,0
29155101,사동,396,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,2
29155118,도금동,395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155117,양촌동,394,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29155116,구소동,393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155119,승촌동,389,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
29155113,양림동,388,0,0,0,0,6,2,0,1,1,0,10,1,8,38,0,1
29155126,양과동,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155123,칠석동,406,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
29155122,화장동,405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155111,임암동,387,0,0,1,0,4,0,0,0,0,0,5,0,3,119,0,0
29155110,행암동,386,0,0,0,0,12,0,0,0,0,0,12,0,0,0,2,0
29155109,덕남동,385,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1
29155130,월성동,413,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
29155129,원산동,412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155128,대지동,411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155115,봉선동,420,1,1,3,1,12,0,0,7,2,2,29,2,1,83,4,2
29155106,주월동,419,1,0,0,0,7,0,0,7,2,1,18,4,24,73,0,4
29155121,압촌동,418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155120,지석동,417,0,0,0,0,2,0,0,0,1,0,3,1,0,0,0,1
29155112,송하동,414,0,0,2,0,1,0,0,3,1,0,7,0,0,0,1,0
29155127,이장동,410,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0
29155125,신장동,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155124,석정동,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155114,방림동,404,0,0,0,0,6,0,0,2,2,0,10,1,6,18,0,1
29155108,진월동,403,0,0,0,0,3,0,0,4,1,2,10,1,23,64,1,1
29155107,노대동,402,0,0,1,0,9,0,0,0,1,3,14,1,0,0,0,1
29140127,남구_용두동,108,0,0,2,0,0,0,0,0,0,3,5,0,0,0,0,0
29140131,마륵동,103,0,0,0,0,1,0,0,0,0,2,3,2,0,0,0,2
29140120,치평동,102,0,2,1,2,8,1,0,18,1,8,41,4,4,355,0,4
29140130,금호동,1096,0,1,1,0,13,0,0,6,2,6,29,2,29,44,3,2
29140104,서구_양동,1090,1,0,0,0,7,0,0,2,2,2,14,2,2,25,0,2
29140119,화정동,790,1,1,0,3,16,0,0,8,4,4,37,3,6,121,1,3
29140106,농성동,1092,0,0,2,0,8,1,0,7,2,8,28,4,14,157,4,4
29140115,광천동,114,0,0,1,1,3,0,0,4,1,2,12,0,3,93,3,0
29140118,쌍촌동,112,0,3,1,0,14,0,0,8,2,10,38,5,41,256,3,5
29140121,내방동,131,0,0,0,0,1,0,0,0,0,1,2,1,0,0,0,1
29140117,덕흥동,97,0,0,1,0,0,0,0,0,0,5,6,0,0,0,0,0
29110105,대의동,168,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0
29110127,충장동,160,0,0,0,2,4,1,0,0,1,0,8,3,1,213,0,3
