ORG_NUM,TRAD,CONCERT,OLD,MART,LIB,ART,MUS,MED,COMM,SPORT,CHARGE
442,0,0,1,0,1,0,0,0,0,0,0
434,0,0,4,0,7,0,0,5,2,0,1
431,0,0,2,1,1,0,0,6,1,0,1
430,0,0,0,0,0,0,0,0,0,0,0
429,0,0,0,0,1,0,0,0,0,0,0
428,0,0,0,0,1,0,0,3,1,0,0
425,0,0,2,0,2,0,0,2,2,0,2
449,1,0,0,0,2,0,1,1,1,1,1
448,0,0,1,0,5,0,0,2,1,0,0
446,0,0,0,0,0,0,0,0,0,0,0
444,0,0,2,0,0,0,0,0,0,0,0
443,0,0,0,0,0,0,0,0,0,0,0
441,0,0,0,0,1,0,0,0,0,0,0
440,0,0,1,0,0,0,0,0,0,0,0
439,0,0,0,0,0,0,0,0,0,1,0
438,0,0,0,0,0,0,0,0,0,0,0
1142,0,0,0,0,0,0,0,2,0,0,0
1425,0,1,0,0,8,0,0,1,2,3,0
447,0,0,0,0,0,0,0,1,0,1,0
424,0,0,0,0,0,0,0,0,0,0,0
423,0,0,0,0,0,0,0,0,0,0,0
400,0,0,0,0,7,0,0,6,2,0,0
399,0,0,1,0,13,0,0,6,3,0,2
398,0,0,1,0,0,0,0,4,1,0,0
397,0,2,0,0,2,0,0,0,0,0,0
396,0,1,0,0,0,0,0,0,0,1,2
395,0,0,0,0,0,0,0,0,0,0,0
394,0,0,1,0,0,0,0,0,0,0,0
393,0,0,0,0,0,0,0,0,0,0,0
389,0,0,0,0,0,0,0,0,0,1,0
388,0,0,0,0,6,2,0,1,1,0,1
409,0,0,0,0,0,0,0,0,0,0,0
406,0,0,1,0,0,0,0,0,0,0,0
405,0,0,0,0,0,0,0,0,0,0,0
387,0,0,1,0,4,0,0,0,0,0,0
386,0,0,0,0,12,0,0,0,0,0,0
385,0,0,0,0,0,0,0,2,0,0,1
413,0,0,2,0,0,0,0,0,0,0,0
412,0,0,0,0,0,0,0,0,0,0,0
411,0,0,0,0,0,0,0,0,0,0,0
420,1,1,3,1,12,0,0,7,2,2,2
419,1,0,0,0,7,0,0,7,2,1,4
418,0,0,0,0,0,0,0,0,0,0,0
417,0,0,0,0,2,0,0,0,1,0,1
414,0,0,2,0,1,0,0,3,1,0,0
410,0,0,2,0,0,0,0,0,0,0,0
408,0,0,0,0,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0,0
404,0,0,0,0,6,0,0,2,2,0,1
403,0,0,0,0,3,0,0,4,1,2,1
402,0,0,1,0,9,0,0,0,1,3,1
108,0,0,2,0,0,0,0,0,0,3,0
103,0,0,0,0,1,0,0,0,0,2,2
102,0,2,1,2,8,1,0,18,1,8,4
1096,0,1,1,0,13,0,0,6,2,6,2
1090,1,0,0,0,7,0,0,2,2,2,2
790,1,1,0,3,16,0,0,8,4,4,3
1092,0,0,2,0,8,1,0,7,2,8,4
114,0,0,1,1,3,0,0,4,1,2,0
112,0,3,1,0,14,0,0,8,2,10,5
131,0,0,0,0,1,0,0,0,0,1,1
97,0,0,1,0,0,0,0,0,0,5,0
168,0,0,0,0,0,1,1,0,0,0,0
100,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,0,0,0
160,0,0,0,2,4,1,0,0,1,0,3
104,0,0,0,0,0,0,0,0,0,0,0
105,0,0,0,0,0,0,0,0,0,0,0
106,0,0,0,0,0,0,0,0,0,0,0
107,0,0,0,0,0,0,0,0,0,0,0
109,0,0,0,0,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,0,0,0,0
111,0,0,0,0,0,0,0,0,0,0,0
113,0,0,0,0,0,0,0,0,0,0,0
115,0,0,0,0,0,0,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,0
117,0,0,0,0,0,0,0,0,0,0,0
118,0,0,0,0,0,0,0,0,0,0,0
119,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0
121,0,0,0,0,0,0,0,0,0,0,0
