EMD_CD,TRAD,CONCERT,OLD,MART,LIB,ART,MUS,MED,COMM,SPORT,OWN,JOB,CARROT,CHARGE
29200149,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29200148,0,0,1,0,0,0,0,2,0,1,0,0,0,0
29200147,0,0,0,0,0,0,0,0,0,2,0,0,0,0
29200145,0,0,0,0,0,0,0,0,1,3,0,210,1,0
29200129,0,0,0,0,0,0,0,0,0,2,0,0,0,0
29200128,1,0,1,0,0,0,0,1,2,13,1,30,0,3
29200127,0,0,1,0,0,0,0,1,0,3,0,0,0,2
29200126,0,0,0,0,0,0,0,0,0,3,0,0,0,0
29200135,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29200134,0,0,0,0,0,0,0,0,1,7,0,8,0,0
29200133,0,0,0,0,0,0,0,0,0,3,0,0,0,0
29200132,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29200131,0,0,0,0,0,0,0,0,0,3,0,0,0,0
29200130,0,0,0,0,0,0,0,0,0,4,0,0,0,0
29200123,0,1,0,2,2,0,0,8,2,3,0,0,3,0
29200122,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29200121,0,0,0,0,0,0,0,0,0,5,0,0,0,0
29200144,0,0,0,0,0,0,0,0,0,2,0,0,0,0
29200143,0,0,0,0,0,0,0,0,0,4,0,0,0,0
29170110,1,0,1,0,4,0,0,2,1,1,31,23,2,1
29170130,0,0,1,0,11,0,0,3,0,0,10,0,2,0
29170114,2,0,2,1,9,0,0,6,3,4,102,80,5,3
29170101,2,1,1,0,6,0,1,4,3,0,10,130,0,2
29170123,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29170122,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29170121,0,0,1,0,0,0,0,0,1,0,0,2,0,0
29170120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29170119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29170118,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29170107,1,0,3,0,7,0,1,6,1,2,13,201,0,2
29170113,0,0,0,1,2,1,0,4,1,4,0,32,1,3
29170139,0,0,0,0,0,0,0,0,1,0,0,0,0,0
29170136,0,0,1,0,1,0,0,0,0,0,0,0,0,0
29170115,0,0,4,0,7,0,0,5,2,0,70,66,2,1
29170106,0,0,2,1,1,0,0,6,1,0,6,120,0,1
29170104,0,0,0,0,0,0,0,0,0,0,0,78,0,0
29170103,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29170102,0,0,0,0,1,0,0,3,1,0,0,0,0,0
29170126,0,0,2,0,2,0,0,2,2,0,0,454,1,2
29170111,1,0,0,0,2,0,1,1,1,1,3,26,2,1
29170105,0,0,1,0,5,0,0,2,1,0,0,24,0,0
29170140,0,0,0,0,0,0,0,0,0,0,3,2,0,0
29170138,0,0,2,0,0,0,0,0,0,0,0,0,0,0
29170137,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29170135,0,0,0,0,1,0,0,0,0,0,0,0,0,0
29170134,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29170133,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29170132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29170131,0,0,0,0,0,0,0,2,0,0,0,0,1,0
29170112,0,1,0,0,8,0,0,1,2,3,5,26,1,0
29170141,0,0,0,0,0,0,0,1,0,1,0,0,0,0
29170125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29170124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155105,0,0,0,0,7,0,0,6,2,0,7,45,2,0
29155104,0,0,1,0,13,0,0,6,3,0,15,89,1,2
29155103,0,0,1,0,0,0,0,4,1,0,3,75,0,0
29155102,0,2,0,0,2,0,0,0,0,0,0,0,0,0
29155101,0,1,0,0,0,0,0,0,0,1,0,0,0,2
29155118,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155117,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29155116,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155119,0,0,0,0,0,0,0,0,0,1,0,0,0,0
29155113,0,0,0,0,6,2,0,1,1,0,8,38,0,1
29155126,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155123,0,0,1,0,0,0,0,0,0,0,0,0,0,0
29155122,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155111,0,0,1,0,4,0,0,0,0,0,3,119,0,0
29155110,0,0,0,0,12,0,0,0,0,0,0,0,2,0
29155109,0,0,0,0,0,0,0,2,0,0,0,0,0,1
29155130,0,0,2,0,0,0,0,0,0,0,0,0,0,0
29155129,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155128,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155115,1,1,3,1,12,0,0,7,2,2,1,83,4,2
29155106,1,0,0,0,7,0,0,7,2,1,24,73,0,4
29155121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155120,0,0,0,0,2,0,0,0,1,0,0,0,0,1
29155112,0,0,2,0,1,0,0,3,1,0,0,0,1,0
29155127,0,0,2,0,0,0,0,0,0,0,0,0,0,0
29155125,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29155114,0,0,0,0,6,0,0,2,2,0,6,18,0,1
29155108,0,0,0,0,3,0,0,4,1,2,23,64,1,1
29155107,0,0,1,0,9,0,0,0,1,3,0,0,0,1
29140127,0,0,2,0,0,0,0,0,0,3,0,0,0,0
29140131,0,0,0,0,1,0,0,0,0,2,0,0,0,2
29140120,0,2,1,2,8,1,0,18,1,8,4,355,0,4
29140130,0,1,1,0,13,0,0,6,2,6,29,44,3,2
29140104,1,0,0,0,7,0,0,2,2,2,2,25,0,2
29140119,1,1,0,3,16,0,0,8,4,4,6,121,1,3
29140106,0,0,2,0,8,1,0,7,2,8,14,157,4,4
29140115,0,0,1,1,3,0,0,4,1,2,3,93,3,0
29140118,0,3,1,0,14,0,0,8,2,10,41,256,3,5
29140121,0,0,0,0,1,0,0,0,0,1,0,0,0,1
29140117,0,0,1,0,0,0,0,0,0,5,0,0,0,0
29110105,0,0,0,0,0,1,1,0,0,0,0,0,0,0
29110127,0,0,0,2,4,1,0,0,1,0,1,213,0,3
