EMD_NM,TRAD,CONCERT,OLD,MART,LIB,ART,MUS,MED,COMM,SPORT,CHARGE
흑석동,0,0,0,0,0,0,0,0,0,0,0
하산동,0,0,0,0,0,0,0,0,1,4,0
월전동,0,0,0,0,0,0,0,0,0,2,0
하남동,0,0,0,1,0,0,0,1,1,7,1
선암동,0,0,0,0,2,0,0,0,0,6,1
서봉동,0,0,0,0,0,0,0,0,0,2,0
운수동,0,0,1,0,0,0,0,0,0,1,0
오선동,0,0,0,0,0,0,0,0,0,1,0
광산구_동림동,0,0,0,0,0,0,0,0,0,1,0
광산구_양산동,0,0,1,0,0,0,0,0,0,3,0
동호동,0,0,0,0,0,0,0,0,0,1,0
명도동,0,0,0,0,0,0,0,0,0,2,0
북산동,0,0,0,0,0,0,0,0,0,0,0
왕동,0,0,0,0,0,0,0,0,0,1,0
광산구_지산동,0,0,0,0,0,0,0,0,0,2,0
유계동,0,0,0,0,0,0,0,0,0,2,0
송치동,0,0,0,0,0,0,0,0,0,3,0
남산동,0,0,0,0,0,0,0,0,1,3,1
삼도동,0,0,0,0,0,0,0,0,0,2,0
신동,0,0,0,0,0,0,0,0,0,2,0
송학동,0,0,0,0,0,0,0,0,0,1,0
대산동,0,0,1,0,0,0,0,0,0,2,0
내산동,0,0,0,0,0,0,0,0,0,3,0
광산구_양동,0,0,0,0,0,0,0,0,0,1,0
지평동,0,0,0,0,0,0,0,0,0,3,0
오운동,0,0,0,0,0,0,0,0,0,1,0
송산동,0,0,0,0,0,0,0,0,0,3,0
광산구_용봉동,0,0,0,0,0,0,0,0,0,1,0
본덕동,0,0,0,0,0,0,0,0,0,4,0
사호동,0,0,0,0,0,0,0,0,0,1,0
오산동,0,0,0,0,0,0,0,0,0,2,0
선동,0,0,0,0,0,0,0,0,0,6,0
광산구_산수동,0,0,0,0,0,0,0,0,0,4,0
운남동,0,0,1,0,2,0,0,5,1,8,2
신가동,0,0,0,0,2,0,0,3,1,11,0
신창동,0,0,2,0,0,0,0,3,1,19,0
