EMD_CD,EMD_NM,SGG_OID,COL_ADM_SE,GID,TRAD,CONCERT,OLD,MART,LIB,ART,MUS,MED,COMM,SPORT,TOTAL,CHARGE
29200163,대산동,576,29200,3271,0,0,1,0,0,0,0,0,0,2,3,0
29200162,내산동,575,29200,3272,0,0,0,0,0,0,0,0,0,3,3,0
29200161,광산구_양동,574,29200,3273,0,0,0,0,0,0,0,0,0,1,1,0
29200158,지평동,571,29200,3274,0,0,0,0,0,0,0,0,0,3,3,0
29200159,오운동,572,29200,3276,0,0,0,0,0,0,0,0,0,1,1,0
29200157,송산동,570,29200,3277,0,0,0,0,0,0,0,0,0,3,3,0
29200141,광산구_용봉동,549,29200,3278,0,0,0,0,0,0,0,0,0,1,1,0
29200140,본덕동,548,29200,3279,0,0,0,0,0,0,0,0,0,4,4,0
29200137,사호동,547,29200,3280,0,0,0,0,0,0,0,0,0,1,1,0
29200136,오산동,546,29200,3281,0,0,0,0,0,0,0,0,0,2,2,0
29200170,선동,583,29200,3282,0,0,0,0,0,0,0,0,0,6,6,0
29200169,광산구_산수동,582,29200,3283,0,0,0,0,0,0,0,0,0,4,4,0
29200120,운남동,519,29200,3284,0,0,1,0,2,0,0,5,1,8,17,2
29200119,신가동,518,29200,3285,0,0,0,0,2,0,0,3,1,11,17,0
29200118,신창동,517,29200,3286,0,0,2,0,0,0,0,3,1,19,25,0
29200117,산월동,516,29200,3287,0,0,1,0,0,0,0,1,0,13,15,1
29200116,쌍암동,515,29200,3288,0,1,0,1,0,0,0,9,1,4,16,1
29200115,월계동,514,29200,3289,0,1,0,0,2,0,0,4,1,10,18,2
29200153,명화동,528,29200,3290,0,0,0,0,0,0,0,0,0,3,3,0
29200111,박호동,527,29200,3291,0,0,0,0,0,0,0,0,0,1,1,0
29200110,황룡동,526,29200,3292,0,0,0,0,0,0,0,0,0,1,1,0
29200109,광산구_우산동,525,29200,3293,3,0,2,1,0,0,0,5,1,19,31,5
29200108,소촌동,524,29200,3294,0,0,3,0,1,0,0,1,0,15,20,0
29200104,신촌동,523,29200,3295,0,0,1,0,0,0,0,0,1,11,13,0
29200103,도호동,522,29200,3296,0,0,0,0,0,0,0,0,0,0,0,0
29200102,도산동,521,29200,3297,0,0,0,0,0,0,0,2,1,5,8,1
29200101,송정동,520,29200,3298,3,1,0,0,0,0,0,4,2,16,26,5
29200156,도덕동,530,29200,3299,0,0,1,0,0,0,0,0,1,4,6,0
29200154,동산동,529,29200,3300,0,0,0,0,0,0,0,0,0,3,3,0
29200152,지정동,558,29200,3301,0,0,0,0,0,0,0,0,0,2,2,0
29200151,용곡동,557,29200,3302,0,0,0,0,0,0,0,0,0,3,3,0
29200150,용동,556,29200,3303,0,0,0,0,0,0,0,0,0,1,1,0
29200149,지죽동,555,29200,3304,0,0,0,0,0,0,0,0,0,1,1,0
29200148,송촌동,554,29200,3305,0,0,1,0,0,0,0,2,0,1,4,0
29200147,장록동,553,29200,3306,0,0,0,0,0,0,0,0,0,2,2,0
29200145,옥동,1237,29200,3307,0,0,0,0,0,0,0,0,1,3,4,0
29200129,등임동,539,29200,3308,0,0,0,0,0,0,0,0,0,2,2,0
29200128,월곡동,538,29200,3309,1,0,1,0,0,0,0,1,2,13,18,3
29200127,산정동,537,29200,3310,0,0,1,0,0,0,0,1,0,3,5,2
29200126,장수동,536,29200,3311,0,0,0,0,0,0,0,0,0,3,3,0
29200135,광산동,545,29200,3312,0,0,0,0,0,0,0,0,0,1,1,0
29200134,임곡동,544,29200,3313,0,0,0,0,0,0,0,0,1,7,8,0
29200133,두정동,543,29200,3314,0,0,0,0,0,0,0,0,0,3,3,0
29200132,신룡동,542,29200,3315,0,0,0,0,0,0,0,0,0,1,1,0
29200131,고룡동,541,29200,3316,0,0,0,0,0,0,0,0,0,3,3,0
29200130,산막동,540,29200,3317,0,0,0,0,0,0,0,0,0,4,4,0
29200123,장덕동,931,29200,3318,0,1,0,2,2,0,0,8,2,3,18,0
29200122,진곡동,532,29200,3319,0,0,0,0,0,0,0,0,0,1,1,0
29200121,안청동,531,29200,3320,0,0,0,0,0,0,0,0,0,5,5,0
29200144,송대동,551,29200,3321,0,0,0,0,0,0,0,0,0,2,2,0
29200143,복룡동,550,29200,3322,0,0,0,0,0,0,0,0,0,4,4,0
29170110,북구_우산동,785,29170,3324,1,0,1,0,4,0,0,2,1,1,10,1
29170130,신용동,454,29170,3326,0,0,1,0,11,0,0,3,0,0,15,0
29170114,두암동,453,29170,3327,2,0,2,1,9,0,0,6,3,4,27,3
29170101,중흥동,801,29170,3328,2,1,1,0,6,0,1,4,3,0,18,2
29170123,화암동,422,29170,3329,0,0,0,0,0,0,0,0,0,0,0,0
29170122,청풍동,421,29170,3330,0,0,1,0,0,0,0,0,0,0,1,0
29170121,망월동,420,29170,3331,0,0,1,0,0,0,0,0,1,0,2,0
29170120,금곡동,419,29170,3332,0,0,0,0,0,0,0,0,0,0,0,0
29170119,덕의동,418,29170,3333,0,0,0,0,0,0,0,0,0,0,0,0
29170118,충효동,417,29170,3334,0,0,0,0,0,0,0,0,0,1,1,0
29170107,북구_용봉동,1428,29170,3336,1,0,3,0,7,0,1,6,1,2,21,2
29170113,각화동,1426,29170,3338,0,0,0,1,2,1,0,4,1,4,13,3
29170139,월출동,445,29170,3339,0,0,0,0,0,0,0,0,1,0,1,0
29170136,용전동,442,29170,3340,0,0,1,0,1,0,0,0,0,0,2,0
29170115,오치동,434,29170,3342,0,0,4,0,7,0,0,5,2,0,18,1
29170106,신안동,431,29170,3343,0,0,2,1,1,0,0,6,1,0,11,1
29170104,북동,430,29170,3344,0,0,0,0,0,0,0,0,0,0,0,0
29170103,누문동,429,29170,3345,0,0,0,0,1,0,0,0,0,0,1,0
29170102,유동,428,29170,3346,0,0,0,0,1,0,0,3,1,0,5,0
29170126,본촌동,425,29170,3347,0,0,2,0,2,0,0,2,2,0,8,2
29170111,풍향동,449,29170,3348,1,0,0,0,2,0,1,1,1,1,7,1
29170105,임동,448,29170,3349,0,0,1,0,5,0,0,2,1,0,9,0
29170140,대촌동,446,29170,3350,0,0,0,0,0,0,0,0,0,0,0,0
29170138,생용동,444,29170,3351,0,0,2,0,0,0,0,0,0,0,2,0
29170137,용강동,443,29170,3352,0,0,0,0,0,0,0,0,0,0,0,0
29170135,효령동,441,29170,3353,0,0,0,0,1,0,0,0,0,0,1,0
29170134,수곡동,440,29170,3354,0,0,1,0,0,0,0,0,0,0,1,0
29170133,태령동,439,29170,3355,0,0,0,0,0,0,0,0,0,1,1,0
29170132,지야동,438,29170,3356,0,0,0,0,0,0,0,0,0,0,0,0
29170131,북구_용두동,1142,29170,3357,0,0,0,0,0,0,0,2,0,0,2,0
29170112,문흥동,1425,29170,3359,0,1,0,0,8,0,0,1,2,3,15,0
29170141,오룡동,447,29170,3361,0,0,0,0,0,0,0,1,0,1,2,0
29170125,운정동,424,29170,3362,0,0,0,0,0,0,0,0,0,0,0,0
29170124,장등동,423,29170,3363,0,0,0,0,0,0,0,0,0,0,0,0
29155105,백운동,400,29155,3364,0,0,0,0,7,0,0,6,2,0,15,0
29155104,월산동,399,29155,3365,0,0,1,0,13,0,0,6,3,0,23,2
29155103,서동,398,29155,3366,0,0,1,0,0,0,0,4,1,0,6,0
29155102,구동,397,29155,3367,0,2,0,0,2,0,0,0,0,0,4,0
29155101,사동,396,29155,3368,0,1,0,0,0,0,0,0,0,1,2,2
29155118,도금동,395,29155,3369,0,0,0,0,0,0,0,0,0,0,0,0
29155117,양촌동,394,29155,3370,0,0,1,0,0,0,0,0,0,0,1,0
29155116,구소동,393,29155,3371,0,0,0,0,0,0,0,0,0,0,0,0
29155119,승촌동,389,29155,3372,0,0,0,0,0,0,0,0,0,1,1,0
29155113,양림동,388,29155,3373,0,0,0,0,6,2,0,1,1,0,10,1
